setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
200,6,0.015625,0,0,0,8.095,0.988333
200,6,0.015625,0,1,0,1.04,0.988333
200,6,0.015625,0,0,1,5.635,0.988333
200,6,0.015625,0,1,1,1.015,0.988333
200,6,0.03125,0,0,0,8.06,0.988333
200,6,0.03125,0,1,0,1.01,0.988333
200,6,0.03125,0,0,1,5.665,0.988333
200,6,0.03125,0,1,1,1,0.988333
200,6,0.0625,0,0,0,38.965,0.988333
200,6,0.0625,0,1,0,1.01,0.988333
200,6,0.0625,0,0,1,5.35,0.988333
200,6,0.0625,0,1,1,1,0.988333
200,6,0.125,0,0,0,164.055,0.988333
200,6,0.125,0,1,0,1,0.988333
200,6,0.125,0,0,1,98.19,0.988333
200,6,0.125,0,1,1,0.995,0.988333
200,6,0.25,0,0,0,235.975,0.988333
200,6,0.25,0,1,0,1,0.988333
200,6,0.25,0,0,1,74.33,0.988333
200,6,0.25,0,1,1,1,0.988333
200,6,0.5,0,0,0,409.025,0.988333
200,6,0.5,0,1,0,0.995,0.988333
200,6,0.5,0,0,1,219.625,0.988333
200,6,0.5,0,1,1,0.995,0.988333
200,6,1,0,0,0,476.455,0.983333
200,6,1,0,1,0,0.995,0.988333
200,6,1,0,0,1,276.17,0.983333
200,6,1,0,1,1,0.995,0.988333
200,5,0.015625,0,0,0,6.885,0.987
200,5,0.015625,0,1,0,0.985,0.987
200,5,0.015625,0,0,1,3.37,0.987
200,5,0.015625,0,1,1,0.985,0.987
200,5,0.03125,0,0,0,29.405,0.987
200,5,0.03125,0,1,0,0.985,0.987
200,5,0.03125,0,0,1,3.005,0.987
200,5,0.03125,0,1,1,0.985,0.987
200,5,0.0625,0,0,0,29.565,0.987
200,5,0.0625,0,1,0,0.985,0.987
200,5,0.0625,0,0,1,2.98,0.987
200,5,0.0625,0,1,1,0.985,0.987
200,5,0.125,0,0,0,61.12,0.987
200,5,0.125,0,1,0,0.985,0.987
200,5,0.125,0,0,1,4.7,0.987
200,5,0.125,0,1,1,0.985,0.987
200,5,0.25,0,0,0,145.35,0.987
200,5,0.25,0,1,0,0.985,0.987
200,5,0.25,0,0,1,36.12,0.987
200,5,0.25,0,1,1,0.985,0.987
200,5,0.5,0,0,0,375.99,0.987
200,5,0.5,0,1,0,0.985,0.987
200,5,0.5,0,0,1,185.545,0.987
200,5,0.5,0,1,1,0.985,0.987
200,5,1,0,0,0,365.155,0.987
200,5,1,0,1,0,0.985,0.987
200,5,1,0,0,1,175.15,0.987
200,5,1,0,1,1,0.985,0.987
200,4,0.015625,0,0,0,4.89,0.985
200,4,0.015625,0,1,0,0.985,0.985
200,4,0.015625,0,0,1,1.98,0.985
200,4,0.015625,0,1,1,0.985,0.985
200,4,0.03125,0,0,0,27.125,0.985
200,4,0.03125,0,1,0,0.985,0.985
200,4,0.03125,0,0,1,1.98,0.985
200,4,0.03125,0,1,1,0.985,0.985
200,4,0.0625,0,0,0,27.4,0.985
200,4,0.0625,0,1,0,0.985,0.985
200,4,0.0625,0,0,1,1.98,0.985
200,4,0.0625,0,1,1,0.985,0.985
200,4,0.125,0,0,0,59.05,0.985
200,4,0.125,0,1,0,0.985,0.985
200,4,0.125,0,0,1,3.665,0.985
200,4,0.125,0,1,1,0.985,0.985
200,4,0.25,0,0,0,99.225,0.985
200,4,0.25,0,1,0,0.985,0.985
200,4,0.25,0,0,1,6.28,0.985
200,4,0.25,0,1,1,0.985,0.985
200,4,0.5,0,0,0,222.465,0.925
200,4,0.5,0,1,0,0.985,0.985
200,4,0.5,0,0,1,35.3,0.985
200,4,0.5,0,1,1,0.985,0.985
200,4,1,0,0,0,224.02,0.925
